rank,candidate_id,final_score,signal_fusion_score,llm_rerank_score,tier,confidence_level,skills_match_pct,trajectory_pct,is_overqualified,is_fresher,score_conflict,github_verified,strength,gap,recommendation
1,C005,62.89,61.0,60.0,strong_match,HIGH,50.0,70.0,False,False,False,True,"Strong experience in Python, PyTorch, TensorFlow, and MLOps with a solid career trajectory.",Lacks experience with Kubernetes and other nice-to-have skills.,Consider with reservations due to strong trajectory but skill gaps.
2,C002,57.67,55.5,60.0,good_match,HIGH,40.0,70.0,False,False,False,True,Strong experience in ML engineering with a solid educational background from IIT Delhi.,"Lacks experience in PyTorch, MLOps, and has limited exposure to NLP and computer vision.",Consider with reservations due to strong trajectory but skill gaps in key areas.
3,C003,56.54,53.25,60.0,good_match,HIGH,43.8,50.0,False,False,False,True,"Strong experience in Python, TensorFlow, and ML model training with over 7 years in the field.","Lacks experience in MLOps and Kubernetes, which are critical for the role.",Consider with reservations due to strong trajectory but missing key skills.
4,C018,54.89,53.0,50.0,good_match,HIGH,40.0,50.0,False,False,False,True,"Strong experience in Python, PyTorch, and TensorFlow with over 9 years in the field.","Lacks experience in MLOps, Kubernetes, and other nice-to-have skills.",Consider with reservations due to strong experience but significant skill gaps.
5,C001,52.89,51.0,50.0,good_match,HIGH,40.0,50.0,False,False,False,True,"Strong experience in Python, PyTorch, and MLOps with over 5 years in machine learning roles.","Lacks experience with TensorFlow, Kubernetes, and other key requirements.",Consider with reservations due to strong trajectory but significant skill gaps.
6,C004,52.89,51.0,50.0,good_match,HIGH,40.0,50.0,False,False,False,True,"Strong experience in Python, PyTorch, and TensorFlow with a solid background in ML model training.","Lacks experience in MLOps and Kubernetes, which are critical for the role.",Consider with reservations due to strong trajectory but significant skill gaps.
7,C011,52.26,48.9,40.0,good_match,HIGH,20.0,100.0,False,False,False,True,Strong career growth trajectory with relevant experience in machine learning.,"Lacks essential skills in MLOps, Kubernetes, and TensorFlow.",Consider with reservations due to strong trajectory but significant skill gaps.
8,C013,51.92,49.0,40.0,good_match,HIGH,20.0,100.0,False,False,False,True,Strong career growth trajectory with relevant experience as a Lead ML Engineer.,"Lacks essential skills in TensorFlow, ML model training, MLOps, and Kubernetes.",Consider with reservations due to strong trajectory but significant skill gaps.
9,C012,50.89,49.0,40.0,good_match,HIGH,20.0,100.0,False,False,False,True,Strong career growth trajectory with relevant experience as a Lead ML Engineer.,"Lacks essential skills in PyTorch, MLOps, and Kubernetes.",Consider with reservations due to strong trajectory but significant skill gaps.
10,C019,49.92,47.0,40.0,borderline,HIGH,30.0,50.0,False,False,False,True,The candidate has a solid foundation in Python and TensorFlow with relevant ML experience.,"The candidate lacks experience in MLOps, Kubernetes, and other essential skills listed in the job requirements.",Consider with reservations due to strong trajectory but significant skill gaps.
11,C016,47.1,47.1,50.0,borderline,HIGH,50.0,20.0,True,False,False,False,Strong leadership experience in AI and ML with over a decade in senior roles.,Lacks experience with PyTorch and key nice-to-have skills such as NLP and distributed training.,Consider with reservations due to strong experience but significant skill gaps.
12,C023,44.8,44.8,40.0,borderline,HIGH,30.0,40.0,False,False,False,False,Strong experience as a Senior ML Engineer with over 8 years in the field.,"Lacks essential skills in MLOps, Kubernetes, and TensorFlow.",Consider with reservations due to strong trajectory but significant skill gaps.
13,C020,42.57,40.4,40.0,borderline,HIGH,30.0,40.0,False,False,False,True,The candidate has a solid foundation in Python and PyTorch with relevant ML experience.,"The candidate lacks experience in MLOps, Kubernetes, and other key requirements.",Consider with reservations due to strong trajectory but significant skill gaps.
14,C017,41.13,41.13,50.0,borderline,HIGH,43.8,10.0,True,False,False,False,Strong experience as a Principal ML Architect with a solid background in MLOps and ML model training.,"Lacks experience with TensorFlow, Kubernetes, and other nice-to-have skills.",Consider with reservations due to declining trajectory and skill gaps.
15,C014,40.4,40.4,30.0,borderline,HIGH,30.0,50.0,False,True,False,False,"Candidate has experience with Python, PyTorch, and TensorFlow.",Candidate lacks the required 3+ years of ML experience and MLOps skills.,Pass due to insufficient experience and key skill gaps.
16,C021,38.89,37.0,30.0,weak_match,HIGH,20.0,50.0,False,False,False,True,The candidate has over 6 years of experience in machine learning and a solid foundation in Python and TensorFlow.,"The candidate lacks experience with PyTorch, MLOps, Kubernetes, and does not meet the 3+ years ML experience requirement.",Pass due to significant skill gaps in essential areas for the role.
17,C008,37.8,37.8,40.0,weak_match,HIGH,20.0,40.0,False,False,False,False,The candidate has significant experience in machine learning with a solid educational background from a prestigious institution.,"The candidate lacks essential skills in MLOps, Kubernetes, and TensorFlow, which are critical for the role.",Consider with reservations due to strong trajectory but significant skill gaps.
18,C009,36.89,35.0,40.0,weak_match,HIGH,20.0,40.0,False,False,False,True,The candidate has over 5 years of experience in machine learning and a relevant educational background.,"The candidate lacks experience with PyTorch, MLOps, and Kubernetes, which are critical for the role.",Consider with reservations due to strong trajectory but significant skill gaps.
19,C007,36.25,34.5,40.0,weak_match,HIGH,20.0,40.0,False,False,False,True,The candidate has a solid foundation in Python and TensorFlow with 3.5 years of experience in machine learning.,"The candidate lacks experience in PyTorch, MLOps, Kubernetes, and other key requirements.",Consider with reservations due to strong trajectory but significant skill gaps.
20,C010,33.3,33.3,40.0,weak_match,HIGH,20.0,40.0,False,False,False,False,The candidate has a solid foundation in Python and PyTorch with relevant experience as a Data Scientist.,"The candidate lacks essential skills in MLOps, Kubernetes, and has only 3.3 years of experience, which is borderline for seniority.",Consider with reservations due to strong trajectory but significant skill gaps.
